,council,2011/12,2012/13,2013/14,2014/15,2015/16
1,Shetland Islands,17.8,16.8,15.9,14.8,13.9
2,Glasgow City,14.2,14.7,11.9,11.3,11.6
3,Na h-Eileanan Siar,11.6,10.7,11.6,11.2,14.6
4,East Renfrewshire,10.2,8.7,11.2,10.4,12.5
5,City of Edinburgh,9.5,9.1,9.7,10.5,9
6,East Dunbartonshire,9.6,9.9,9.7,10.3,8
7,Fife,9,9.3,9.1,10.5,11
8,Perth and Kinross,8.1,8.4,7.6,9.3,9.9
9,South Ayrshire,8.1,8.4,8.5,7.8,7.8
