,council,simd,n,frq
154,Inverclyde,5,928,0.06
155,Inverclyde,6,1664,0.107
156,Inverclyde,7,1218,0.079
157,Inverclyde,8,1125,0.073
158,Inverclyde,9,1857,0.12
159,Inverclyde,10,354,0.023
160,Midlothian,1,252,0.016
161,Midlothian,2,1143,0.075
162,Midlothian,3,2909,0.19
163,Midlothian,4,2769,0.181
164,Midlothian,5,890,0.058
165,Midlothian,6,2962,0.193
166,Midlothian,7,1134,0.074
167,Midlothian,8,1224,0.08
168,Midlothian,9,511,0.033
169,Midlothian,10,1516,0.099
170,Moray,2,107,0.006
171,Moray,3,1156,0.067
172,Moray,4,1283,0.074
173,Moray,5,2352,0.136
174,Moray,6,2809,0.162
175,Moray,7,4878,0.281
176,Moray,8,1909,0.11
177,Moray,9,2028,0.117
178,Moray,10,818,0.047
179,Na h-Eileanan Siar,3,286,0.051
180,Na h-Eileanan Siar,4,1059,0.188
181,Na h-Eileanan Siar,5,2574,0.456
182,Na h-Eileanan Siar,6,1429,0.253
183,Na h-Eileanan Siar,7,299,0.053
184,North Ayrshire,1,4563,0.167
185,North Ayrshire,2,5252,0.192
186,North Ayrshire,3,3029,0.111
187,North Ayrshire,4,2257,0.083
188,North Ayrshire,5,2301,0.084
189,North Ayrshire,6,2247,0.082
190,North Ayrshire,7,2695,0.099
191,North Ayrshire,8,2127,0.078
192,North Ayrshire,9,2301,0.084
193,North Ayrshire,10,565,0.021
194,North Lanarkshire,1,7426,0.143
195,North Lanarkshire,2,9774,0.188
196,North Lanarkshire,3,9375,0.181
197,North Lanarkshire,4,7498,0.144
198,North Lanarkshire,5,5065,0.098
199,North Lanarkshire,6,4165,0.08
200,North Lanarkshire,7,3334,0.064
201,North Lanarkshire,8,1886,0.036
202,North Lanarkshire,9,3078,0.059
203,North Lanarkshire,10,310,0.006
204,Orkney Islands,3,148,0.035
205,Orkney Islands,4,508,0.119
206,Orkney Islands,5,696,0.164
207,Orkney Islands,6,736,0.173
208,Orkney Islands,7,1134,0.266
209,Orkney Islands,8,791,0.186
210,Orkney Islands,9,118,0.028
211,Orkney Islands,10,125,0.029
212,Perth and Kinross,1,473,0.016
213,Perth and Kinross,2,572,0.019
214,Perth and Kinross,3,1317,0.044
215,Perth and Kinross,4,1391,0.047
216,Perth and Kinross,5,3344,0.113
217,Perth and Kinross,6,4313,0.145
218,Perth and Kinross,7,5754,0.194
219,Perth and Kinross,8,6170,0.208
220,Perth and Kinross,9,3382,0.114
221,Perth and Kinross,10,2970,0.1
222,Renfrewshire,1,3767,0.124
223,Renfrewshire,2,4039,0.133
224,Renfrewshire,3,3425,0.113
225,Renfrewshire,4,3206,0.106
226,Renfrewshire,5,2859,0.094
227,Renfrewshire,6,2839,0.094
228,Renfrewshire,7,1477,0.049
229,Renfrewshire,8,3779,0.124
230,Renfrewshire,9,3283,0.108
231,Renfrewshire,10,1689,0.056
232,Scottish Borders,1,212,0.009
233,Scottish Borders,2,832,0.034
234,Scottish Borders,3,1878,0.077
235,Scottish Borders,4,2214,0.091
236,Scottish Borders,5,4817,0.197
237,Scottish Borders,6,3506,0.143
238,Scottish Borders,7,6815,0.279
239,Scottish Borders,8,2178,0.089
240,Scottish Borders,9,1151,0.047
241,Scottish Borders,10,842,0.034
242,Shetland Islands,4,127,0.032
243,Shetland Islands,5,1035,0.26
244,Shetland Islands,6,480,0.121
245,Shetland Islands,7,1623,0.408
246,Shetland Islands,8,717,0.18
247,South Ayrshire,1,1472,0.059
248,South Ayrshire,2,1993,0.08
249,South Ayrshire,3,2679,0.107
250,South Ayrshire,4,4161,0.167
251,South Ayrshire,5,3041,0.122
252,South Ayrshire,6,1915,0.077
253,South Ayrshire,7,1474,0.059
254,South Ayrshire,8,2070,0.083
255,South Ayrshire,9,3611,0.145
256,South Ayrshire,10,2563,0.103
257,South Lanarkshire,1,5134,0.094
258,South Lanarkshire,2,5607,0.103
259,South Lanarkshire,3,8575,0.157
260,South Lanarkshire,4,7609,0.139
261,South Lanarkshire,5,6851,0.126
262,South Lanarkshire,6,4762,0.087
263,South Lanarkshire,7,4206,0.077
264,South Lanarkshire,8,4542,0.083
