fin_year,any_census,age_group,gender,prop,prop_cen,n,tot_cen,total
2010/11,Yes,65-75,Female,0.10872608492767148,0.1821735731039875,233,1279,2143
2010/11,Yes,65-75,Male,0.06252916472235184,0.10476935105551212,134,1279,2143
2010/11,Yes,76-85,Female,0.18105459636024265,0.3033620015637217,388,1279,2143
2010/11,Yes,76-85,Male,0.07652823145123658,0.12822517591868648,164,1279,2143
2010/11,Yes,86 plus,Female,0.13672421838544097,0.2290852228303362,293,1279,2143
2010/11,Yes,86 plus,Male,0.03126458236117592,0.05238467552775606,67,1279,2143
2010/11,No,65-75,Female,0.055062995800279985,0.13657407407407407,118,864,2143
2010/11,No,65-75,Male,0.04526364909006066,0.11226851851851852,97,864,2143
2010/11,No,76-85,Female,0.12365842277181521,0.30671296296296297,265,864,2143
2010/11,No,76-85,Male,0.06159589360709286,0.1527777777777778,132,864,2143
2010/11,No,86 plus,Female,0.08446103593093794,0.20949074074074073,181,864,2143
2010/11,No,86 plus,Male,0.033131124591693886,0.08217592592592593,71,864,2143
2011/12,Yes,65-75,Female,0.1112176414189837,0.1799844840961986,232,1289,2086
2011/12,Yes,65-75,Male,0.08389261744966443,0.13576415826221877,175,1289,2086
2011/12,Yes,76-85,Female,0.18120805369127516,0.2932505818463926,378,1289,2086
2011/12,Yes,76-85,Male,0.07622243528283797,0.12335143522110163,159,1289,2086
2011/12,Yes,86 plus,Female,0.12847555129434324,0.20791311093871218,268,1289,2086
2011/12,Yes,86 plus,Male,0.03691275167785235,0.05973622963537626,77,1289,2086
2011/12,No,65-75,Female,0.052732502396931925,0.13801756587202008,110,797,2086
2011/12,No,65-75,Male,0.028763183125599234,0.07528230865746549,60,797,2086
2011/12,No,76-85,Female,0.11936720997123682,0.3124215809284818,249,797,2086
2011/12,No,76-85,Male,0.06375838926174497,0.1668757841907152,133,797,2086
2011/12,No,86 plus,Female,0.08341323106423777,0.21831869510664995,174,797,2086
2011/12,No,86 plus,Male,0.034036433365292426,0.0890840652446675,71,797,2086
2012/13,Yes,65-75,Female,0.10021052631578947,0.16643356643356644,238,1430,2375
2012/13,Yes,65-75,Male,0.07242105263157894,0.12027972027972028,172,1430,2375
2012/13,Yes,76-85,Female,0.17178947368421052,0.2853146853146853,408,1430,2375
2012/13,Yes,76-85,Male,0.08294736842105263,0.13776223776223775,197,1430,2375
2012/13,Yes,86 plus,Female,0.13221052631578947,0.21958041958041957,314,1430,2375
2012/13,Yes,86 plus,Male,0.04252631578947368,0.07062937062937064,101,1430,2375
2012/13,No,65-75,Female,0.055578947368421054,0.13968253968253969,132,945,2375
2012/13,No,65-75,Male,0.04968421052631579,0.12486772486772486,118,945,2375
2012/13,No,76-85,Female,0.12042105263157894,0.30264550264550266,286,945,2375
2012/13,No,76-85,Male,0.06147368421052631,0.1544973544973545,146,945,2375
2012/13,No,86 plus,Female,0.07873684210526316,0.19788359788359788,187,945,2375
2012/13,No,86 plus,Male,0.032,0.08042328042328042,76,945,2375
2013/14,Yes,65-75,Female,0.09487080601619745,0.1625908790482485,246,1513,2593
2013/14,Yes,65-75,Male,0.07211723871962977,0.12359550561797752,187,1513,2593
2013/14,Yes,76-85,Female,0.17315850366371,0.29676140118968936,449,1513,2593
2013/14,Yes,76-85,Male,0.0775163902815272,0.13284864507600794,201,1513,2593
2013/14,Yes,86 plus,Female,0.12919398380254532,0.22141440846001323,335,1513,2593
2013/14,Yes,86 plus,Male,0.03663709988430389,0.06278916060806344,95,1513,2593
2013/14,No,65-75,Female,0.062475896644812956,0.15,162,1080,2593
2013/14,No,65-75,Male,0.044350173544157344,0.10648148148148148,115,1080,2593
2013/14,No,76-85,Female,0.11685306594677979,0.28055555555555556,303,1080,2593
2013/14,No,76-85,Male,0.07096027767065176,0.17037037037037037,184,1080,2593
2013/14,No,86 plus,Female,0.08252988816043193,0.19814814814814816,214,1080,2593
2013/14,No,86 plus,Male,0.039336675665252605,0.09444444444444444,102,1080,2593
2014/15,Yes,65-75,Female,0.09811046511627906,0.16728624535315986,270,1614,2752
2014/15,Yes,65-75,Male,0.07267441860465117,0.12391573729863693,200,1614,2752
2014/15,Yes,76-85,Female,0.17623546511627908,0.30049566294919455,485,1614,2752
2014/15,Yes,76-85,Male,0.08502906976744186,0.1449814126394052,234,1614,2752
2014/15,Yes,86 plus,Female,0.11991279069767442,0.20446096654275092,330,1614,2752
2014/15,Yes,86 plus,Male,0.0345203488372093,0.05885997521685254,95,1614,2752
2014/15,No,65-75,Female,0.052688953488372096,0.1274165202108963,145,1138,2752
2014/15,No,65-75,Male,0.04433139534883721,0.10720562390158173,122,1138,2752
2014/15,No,76-85,Female,0.12936046511627908,0.31282952548330406,356,1138,2752
2014/15,No,76-85,Male,0.06286337209302326,0.15202108963093147,173,1138,2752
2014/15,No,86 plus,Female,0.08611918604651163,0.20826010544815465,237,1138,2752
2014/15,No,86 plus,Male,0.03815406976744186,0.09226713532513181,105,1138,2752
